Vente_ID;Date;Client;Ville;Produit;Quantite;Prix_Unitaire
V0001;06/09/2026;Sokhna Diallo;TOUBA;Tablete;9;270185
V0002;26/09/2026;Awa Ndiaye;dakar;Tablete;4;177044
V0003;13/09/2026;Abdoulaye Gueye;dakar;Casque;3;444404
V0004;08/09/2026;Mariama Sow;Dakar ;Disque dur;1;89979
V0005;;Sokhna Diallo;Kaolack;Laptop;9;220054
V0006;09/09/2026;Mariama Sow;Dakar;Souris;1;184131
V0007;01/09/2026;Awa Ndiaye;Kaolack;Disque dur;9;116295
V0008;18/09/2026;Ousmane Ndiaye  ;Kaolack;Laptop;2;207174
V0009;22/09/2026;Ousmane Ndiaye  ;Thiès;Souris;9;16446
V0010;15/09/2026;Awa Ndiaye;Thiès;Ecran;9;412377
V0011;20/09/2026;  Cheikh Ba;Dakar ;Laptop;3;10560
V0012;28/09/2026;Ousmane Ndiaye  ;dakar;Casque;6;486748
V0013;04/09/2026;Ousmane Ndiaye  ;Kaolack;Laptop;5;411504
V0014;12/09/2026;Sokhna Diallo;Saint-Louis;Ecran;5;59855
V0015;26/09/2026;Fatou Fall;Saint-Louis;Disque dur;10;438918
V0016;11/09/2026;Sokhna Diallo;Dakar;Casque;6;118449
V0017;17/09/2026;Ousmane Ndiaye  ;Dakar;Ecran;4;176440
V0018;24/09/2026;  Cheikh Ba;dakar;Souris;6;428877
V0019;03/09/2026;Abdoulaye Gueye;Kaolack;Disque dur;2;358984
V0020;07/09/2026;Mariama Sow;dakar;Laptop;8;61104
V0021;02/09/2026;Sokhna Diallo;Kaolack;Disque dur;9;31135
V0022;08/09/2026;Ousmane Ndiaye  ;dakar;Disque dur;8;205412
V0023;15/09/2026;  Cheikh Ba;Dakar ;Clavier;2;66099
V0024;03/09/2026;Fatou Fall;dakar;Casque;9;150533
V0025;26/09/2026;Abdoulaye Gueye;Dakar ;Clavier;4;345332
V0026;07/09/2026;Abdoulaye Gueye;dakar;Souris;7;279528
V0027;17/09/2026;Abdoulaye Gueye;Saint-Louis;Disque dur;4;238786
V0028;09/09/2026;Ousmane Ndiaye  ;Dakar ;Ecran;5;237463
V0029;16/09/2026;Ousmane Ndiaye  ;TOUBA;Imprimante;5;443314
V0030;08/09/2026;Sokhna Diallo;Saint-Louis;Casque;1;227044
V0031;03/09/2026;Mamadou Diop;dakar;Laptop;7;320112
V0032;03/09/2026;Awa Ndiaye;Dakar;Disque dur;10;280957
V0033;12/09/2026;Ousmane Ndiaye  ;Dakar ;Ecran;5;211475
V0034;30/09/2026;Ousmane Ndiaye  ;Saint-Louis;Disque dur;4;354030
V0035;28/09/2026;Mamadou Diop;Dakar ;Imprimante;3;45334
V0036;05/09/2026;Fatou Fall;Dakar;Clavier;5;77613
V0037;05/09/2026;Awa Ndiaye;dakar;Disque dur;9;244866
V0038;10/09/2026;Fatou Fall;Thiès;Ecran;8;299320
V0039;12/09/2026;Awa Ndiaye;TOUBA;Laptop;8;452654
V0040;07/09/2026;Sokhna Diallo;Thiès;Casque;7;162860
V0041;06/09/2026;Mariama Sow;TOUBA;Souris;7;51436
V0042;23/09/2026;Mariama Sow;dakar;Imprimante;1;218263
